Parent-Group,TransactionCode,SourceCode,,,,
Child-Group,PaymentDate,Amount,OtherPartyAccountNumber,,,
Code-Finger-Print,,,,,,
Sign,-,,,,,
Analysis,largest-subset-test,z-score,,,,
,,,,,,
TransactionCode,SourceCode,PaymentDate,Amount,OtherPartyAccountNumber,count,z-score
0,DD,2015-10-08 00:00:00.0000000 +13:00,-8205.68,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-09 00:00:00.0000000 +13:00,-2361.3,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-12 00:00:00.0000000 +13:00,-1055.52,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-10-12 00:00:00.0000000 +13:00,-3507.57,0x6B698031D2C0191A990C0A3DB8DFBEFD,1,-0.072115265
0,DD,2015-10-12 00:00:00.0000000 +13:00,-4794.67,0x3441BA2999722D37300E65D03727D108,1,-0.072115265
0,DD,2015-10-12 00:00:00.0000000 +13:00,-5751.67,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-12 00:00:00.0000000 +13:00,-76183.6,0xC72DAF9EE7FF49443FDC36024F25F5DB,1,-0.072115265
0,DD,2015-10-12 00:00:00.0000000 +13:00,-973.04,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-10-13 00:00:00.0000000 +13:00,-23557.9,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-14 00:00:00.0000000 +13:00,-13446.1,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-14 00:00:00.0000000 +13:00,-48.3,0x0B4EFC6E375129AA0F0B07ECB85FED42,1,-0.072115265
0,DD,2015-10-15 00:00:00.0000000 +13:00,-1014.65,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-10-15 00:00:00.0000000 +13:00,-139.73,0xEFA43FD3D213394B2228ECB9FBD34A63,1,-0.072115265
0,DD,2015-10-16 00:00:00.0000000 +13:00,-16648.1,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-19 00:00:00.0000000 +13:00,-4182.4,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-112.88,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-116.29,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-1338.14,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-181.39,0xA224C533865458758857BE42FAF1FF05,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-23439.31,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-349.58,0xBD9D42867CA8782E39F6A0116DF25563,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-424.57,0xEEDD0DDDCD376DA19607CF27E4E54259,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-50.82,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-57.31,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-58.06,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-67.89,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-10-20 00:00:00.0000000 +13:00,-79.59,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-10-21 00:00:00.0000000 +13:00,-986.06,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-10-22 00:00:00.0000000 +13:00,-12263.44,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-22 00:00:00.0000000 +13:00,-1400.4,0xBD932A22D48A0FCB7EE3B0BF4C6D3373,1,-0.072115265
0,DD,2015-10-23 00:00:00.0000000 +13:00,-10090.9,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-23 00:00:00.0000000 +13:00,-1232.24,0x0B62B7B0AB389EC2DE2BEBE41F1B8C2B,1,-0.072115265
0,DD,2015-10-23 00:00:00.0000000 +13:00,-154121.2,0x05F7626A0AED5353921B9CC6E2E35567,1,-0.072115265
0,DD,2015-10-23 00:00:00.0000000 +13:00,-17822.32,0xC654D556E7F7EEAA5FAB1DA3B6803656,1,-0.072115265
0,DD,2015-10-27 00:00:00.0000000 +13:00,-23194.6,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-27 00:00:00.0000000 +13:00,-3725.97,0x9D08180D66099F80B505AA9D094DE0AB,1,-0.072115265
0,DD,2015-10-27 00:00:00.0000000 +13:00,-373.81,0xB16F3369A0BA06138012B0A9C7B5A740,1,-0.072115265
0,DD,2015-10-27 00:00:00.0000000 +13:00,-87.19,0x641E684C377D49F619E445F202886C72,1,-0.072115265
0,DD,2015-10-27 00:00:00.0000000 +13:00,-98.99,0x82B3C05D1B04CCBDB0B80066E7726A52,1,-0.072115265
0,DD,2015-10-28 00:00:00.0000000 +13:00,-12592.3,0xB3E625E58AD2BB7418916E1630505D61,1,-0.072115265
0,DD,2015-10-28 00:00:00.0000000 +13:00,-2056.86,0xC35B6A0B1EC8226ACC245EDEF193554C,1,-0.072115265
0,DD,2015-10-28 00:00:00.0000000 +13:00,-26591.98,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-29 00:00:00.0000000 +13:00,-6055.86,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-10-30 00:00:00.0000000 +13:00,-12747.78,0xB3E625E58AD2BB7418916E1630505D61,1,-0.072115265
0,DD,2015-10-30 00:00:00.0000000 +13:00,-517.86,0x82B3C05D1B04CCBDB0B80066E7726A52,1,-0.072115265
0,DD,2015-10-30 00:00:00.0000000 +13:00,-6584.4,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-02 00:00:00.0000000 +13:00,-12469.94,0xB3E625E58AD2BB7418916E1630505D61,1,-0.072115265
0,DD,2015-11-02 00:00:00.0000000 +13:00,-6228.06,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-03 00:00:00.0000000 +13:00,-12511.99,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-04 00:00:00.0000000 +13:00,-15233.21,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-04 00:00:00.0000000 +13:00,-48.3,0x0B4EFC6E375129AA0F0B07ECB85FED42,1,-0.072115265
0,DD,2015-11-05 00:00:00.0000000 +13:00,-903.68,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-11-05 00:00:00.0000000 +13:00,-9234.5,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-06 00:00:00.0000000 +13:00,-8441.9,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-09 00:00:00.0000000 +13:00,-20991.81,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-10 00:00:00.0000000 +13:00,-9010.15,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-10 00:00:00.0000000 +13:00,-973.04,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-11-11 00:00:00.0000000 +13:00,-1055.52,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-11-11 00:00:00.0000000 +13:00,-13065.36,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-11 00:00:00.0000000 +13:00,-5020.52,0x3441BA2999722D37300E65D03727D108,1,-0.072115265
0,DD,2015-11-11 00:00:00.0000000 +13:00,-93579.93,0xC72DAF9EE7FF49443FDC36024F25F5DB,1,-0.072115265
0,DD,2015-11-12 00:00:00.0000000 +13:00,-4221.19,0x6B698031D2C0191A990C0A3DB8DFBEFD,1,-0.072115265
0,DD,2015-11-12 00:00:00.0000000 +13:00,-6823.58,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-13 00:00:00.0000000 +13:00,-7089.9,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-16 00:00:00.0000000 +13:00,-1014.65,0xFE450EFB9AE1EE80484C35F0C344FCBF,1,-0.072115265
0,DD,2015-11-16 00:00:00.0000000 +13:00,-139.73,0xEFA43FD3D213394B2228ECB9FBD34A63,1,-0.072115265
0,DD,2015-11-16 00:00:00.0000000 +13:00,-17751.61,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-18 00:00:00.0000000 +13:00,-12218.82,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-18 00:00:00.0000000 +13:00,-9346.47,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-20 00:00:00.0000000 +13:00,-1072.92,0xB2C1B96FE5B172DDE4BA46F61532F99C,1,-0.072115265
0,DD,2015-11-20 00:00:00.0000000 +13:00,-112.88,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-11-20 00:00:00.0000000 +13:00,-116.29,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-11-20 00:00:00.0000000 +13:00,-1243.8,0xBD932A22D48A0FCB7EE3B0BF4C6D3373,1,-0.072115265
0,DD,2015-11-20 00:00:00.0000000 +13:00,-1312.8,0x92DFAAB4226CEF03589F0B114CC379DC,1,-0.072115265
0,DD,2015-11-20 00:00:00.0000000 +13:00,-1338.14,0x1C4E1FDC23D6B1A6BD8F1A245CBCC968,1,-0.072115265
0,DD,2015-11-20 00:00:00.0000000 +13:00,-15701.6,0x0D3F0FC0C700813343EF0D41ACE5AC90,1,-0.072115265
0,DD,2015-11-20 00:00:00.0000000 +13:00,-181.39,0xA224C533865458758857BE42FAF1FF05,1,-0.072115265
0,DD,2015-11-20 00:00:00.0000000 +13:00,-303.84,0xBD9D42867CA8782E39F6A0116DF25563,1,-0.072115265
0,DD,2015-11-20 00:00:00.0000000 +13:00,-370.28,0xB2C1B96FE5B172DDE4BA46F61532F99C,1,-0.072115265
